precision,recall,f1-score,metric_type,docred_type,split,model_name,prediction_level
0.6822319622387053,0.6593890020366598,0.670616015576453,re,docred,dev,original_NER,original_NER
0.6082875457875457,0.5462301485326617,0.5755909989439194,evi,docred,dev,original_NER,original_NER
0.6456433869295579,0.6593890020366598,0.6524438047339081,re_ignore_train_annotated (used officially),docred,dev,original_NER,original_NER
0.5485029933550862,0.6593890020366598,0.5988562599675664,re_ignore_train,docred,dev,original_NER,original_NER
0.5932788016162412,0.4904276985743381,0.5369726161805369,re,docred,dev,xlm-roberta-large-finetuned-conll03-english,sentence
0.5135552836628244,0.40987819293827416,0.4558966443720346,evi,docred,dev,xlm-roberta-large-finetuned-conll03-english,sentence
0.5452842655957644,0.4904276985743381,0.516403240855115,re_ignore_train_annotated (used officially),docred,dev,xlm-roberta-large-finetuned-conll03-english,sentence
0.4219078296373332,0.4904276985743381,0.45359471269329926,re_ignore_train,docred,dev,xlm-roberta-large-finetuned-conll03-english,sentence
0.6403141361256545,0.5978004073319756,0.6183273646513588,re,docred,dev,wikineural-multilingual-ner-fine-tuned,sentence
0.5568061906436862,0.48815336382792823,0.5202245652471588,evi,docred,dev,wikineural-multilingual-ner-fine-tuned,sentence
0.6002715277344147,0.5978004073319756,0.5990334190902076,re_ignore_train_annotated (used officially),docred,dev,wikineural-multilingual-ner-fine-tuned,sentence
0.4960264084900032,0.5978004073319756,0.5421786790259134,re_ignore_train,docred,dev,wikineural-multilingual-ner-fine-tuned,sentence
0.5675,0.44382892057026474,0.4981028571428572,re,docred,dev,v2\deepseek-reasoner-repaired,None
0.48715456186640743,0.36059001901629234,0.41442452523701234,evi,docred,dev,v2\deepseek-reasoner-repaired,None
0.5281281957857391,0.44382892057026474,0.48232285789952817,re_ignore_train_annotated (used officially),docred,dev,v2\deepseek-reasoner-repaired,None
0.4265985355246533,0.44382892057026474,0.435043187603944,re_ignore_train,docred,dev,v2\deepseek-reasoner-repaired,None
0.6391827800072966,0.5709164969450102,0.603124058694436,re,docred,dev,v2_verifier\deepseek-reasoner-repaired,None
0.5553030768285943,0.464717068407257,0.5059876888640179,evi,docred,dev,v2_verifier\deepseek-reasoner-repaired,None
0.6003636724918036,0.5709164969450102,0.5852699187366416,re_ignore_train_annotated (used officially),docred,dev,v2_verifier\deepseek-reasoner-repaired,None
0.49637173711474003,0.5709164969450102,0.5310408271964366,re_ignore_train,docred,dev,v2_verifier\deepseek-reasoner-repaired,None
0.5141936473837655,0.2729938900203666,0.35664112388250313,re,docred,dev,v4\deepseek-chat-repaired,None
0.4411211043714704,0.21678573264120882,0.29070608911402873,evi,docred,dev,v4\deepseek-chat-repaired,None
0.47312364707418264,0.2729938900203666,0.3462185472234432,re_ignore_train_annotated (used officially),docred,dev,v4\deepseek-chat-repaired,None
0.3795806380960599,0.2729938900203666,0.3175827143279758,re_ignore_train,docred,dev,v4\deepseek-chat-repaired,None
0.634416991764196,0.5961710794297352,0.6146997060058799,re,docred,dev,v4_verifier\deepseek-chat-repaired,None
0.5488997555012225,0.4846070822840109,0.5147536508803057,evi,docred,dev,v4_verifier\deepseek-chat-repaired,None
0.5948308987367112,0.5961710794297352,0.5955002350608443,re_ignore_train_annotated (used officially),docred,dev,v4_verifier\deepseek-chat-repaired,None
0.4915601633812875,0.5961710794297352,0.5388352226609584,re_ignore_train,docred,dev,v4_verifier\deepseek-chat-repaired,None
0.6849969594301103,0.6423625254582485,0.6629950390986294,re,docred,dev,entities_separately,None
0.594607159460716,0.5258775761936578,0.5581344606573027,evi,docred,dev,entities_separately,None
0.6476190469896802,0.6423625254582485,0.6449800763738391,re_ignore_train_annotated (used officially),docred,dev,entities_separately,None
0.5484995635057907,0.6423625254582485,0.5917319362023392,re_ignore_train,docred,dev,entities_separately,None
0.46072151045178694,0.3162462392964592,0.37505146150679297,re,redocred,dev,original_NER,original_NER
0.5934078598593984,0.4111306291919515,0.48573180510353287,evi,redocred,dev,original_NER,original_NER
0.4227715622313501,0.3162462392964592,0.36183138311620844,re_ignore_train_annotated (used officially),redocred,dev,original_NER,original_NER
0.33603154801159035,0.3162462392964592,0.3258388233093265,re_ignore_train,redocred,dev,original_NER,original_NER
0.8395647873392681,0.24554501272853507,0.37996329289583236,re,redocred,dev,xlm-roberta-large-finetuned-conll03-english,sentence
0.518681888946549,0.31922708399872246,0.39521550019770657,evi,redocred,dev,xlm-roberta-large-finetuned-conll03-english,sentence
